<<<<<<< HEAD
,title,ingredients,directions,link,source,NER
253850,Acadian Poutines,"[""1 c. flour"", ""1/2 c. water"", ""1 tsp. baking powder""]","[""Mix all ingredients."", ""Roll dough thinly."", ""Cut into strips, then snip into any kind of stew."", ""Allow 15 minutes cooking time.""]",www.cookbooks.com/Recipe-Details.aspx?id=638889,Gathered,"[""flour"", ""water"", ""baking powder""]"
898993,Poutine Pizza,"[""2 cups all-purpose flour"", ""1 cup lukewarm water"", ""1 egg"", ""1 tablespoon instant yeast"", ""1 tablespoon white sugar"", ""1 (14 ounce) package frozen French fries (such as McCain(R))"", ""cooking spray"", ""10 slices bacon, chopped"", ""1 (12 ounce) bag shredded Mexican cheese blend (such as Kraft(R))"", ""1/2 cup pizza sauce, or as needed"", ""1 (10.5 ounce) can beef gravy, or as needed""]","[""Place flour in a large bowl. Whisk water, egg, yeast, and sugar together in a cup. Make a well in the flour and pour in yeast mixture. Stir until mixture forms a smooth dough, adding a small amount of flour or water if needed. Cover bowl with a towel; set aside to rise until doubled in size, about 30 minutes."", ""Preheat oven to 425 degrees F (220 degrees C). Spread French fries in a single layer on a baking sheet."", ""Bake fries in the preheated oven until golden, about 20 minutes. Reduce oven temperature to 350 degrees F (175 degrees C)."", ""Heat a large skillet over medium heat and fry bacon pieces until browned, about 5 minutes; remove to drain on a paper towel."", ""Spray a round pizza pan with baking spray."", ""Punch down dough, and flatten onto pizza pan. For a stuffed crust, sprinkle about 1/4 cup shredded Mexican cheese blend around the edge of the dough, roll dough inward over cheese, and pinch dough to seal."", ""Spread a thin layer of pizza sauce over dough. Spread fries over dough; pour gravy over fries as needed to cover. Top with remaining Mexican cheese blend. Sprinkle bacon pieces evenly over pizza."", ""Bake in the preheated oven until cheese is bubbly and crust is golden, about 20 minutes.""]",www.allrecipes.com/recipe/234010/poutine-pizza/,Gathered,"[""flour"", ""water"", ""egg"", ""yeast"", ""white sugar"", ""cooking spray"", ""bacon"", ""cheese blend"", ""pizza sauce"", ""beef gravy""]"
919318,Perfect Baked Poutine,"[""3 tablespoons extra-virgin olive oil"", ""1 teaspoon salt"", ""1 teaspoon freshly ground black pepper"", ""1/2 teaspoon garlic powder"", ""1 teaspoon dried parsley"", ""5 red potatoes, scrubbed and cut into wedges"", ""2 (.75 ounce) packets brown gravy mix"", ""2 cups low-sodium chicken broth"", ""2 cups cheese curds""]","[""Preheat oven to 350 degrees F (175 degrees C)."", ""Combine extra-virgin olive oil, salt, black pepper, garlic powder, and parsley in a large zip lock bag; add cut red potatoes and shake until potatoes are covered."", ""Line a cookie sheet with foil; lightly cover with oil. Arrange potatoes on cookie sheet. Bake potatoes, flipping every 20 minutes, until golden brown, about 45 minutes to 1 hour. Transfer fries to a large bowl."", ""Whisk brown gravy mix with chicken broth in a saucepan, place over medium heat, and bring to a boil, whisking often. Reduce heat to low; simmer for 1 minute, continuing to whisk. Let stand off the heat for 1 minute for gravy to thicken."", ""Layer cheese curds over fries and top with prepared gravy.""]",www.allrecipes.com/recipe/231540/perfect-baked-poutine/,Gathered,"[""extra-virgin olive oil"", ""salt"", ""freshly ground black pepper"", ""garlic"", ""parsley"", ""red potatoes"", ""packets brown gravy mix"", ""chicken broth"", ""cheese curds""]"
921402,Poutine Gravy,"[""1 tablespoon vegetable oil"", ""1 pound boneless beef chuck, chopped, or more to taste"", ""4 tablespoons butter"", ""1 cup diced onions"", ""salt to taste"", ""freshly ground black pepper to taste"", ""1 pinch cayenne pepper, or to taste"", ""1/3 cup all-purpose flour"", ""4 cups homemade beef broth"", ""1 (16 ounce) package crinkle-cut French fries, or to taste"", ""1 cup fresh cheese curds, or to taste"", ""1 teaspoon chopped fresh chives, or to taste""]","[""Drizzle oil into a pan over high heat. Add beef chuck. Cook and stir until juices evaporate and the beef starts to brown and stick to the bottom of the pan, 5 to 7 minutes. Add butter and reduce heat to medium; stir until butter is melted."", ""Add onions, salt, pepper, and cayenne to the beef. Cook until onions are softened and golden, 2 to 3 minutes. Stir in flour. Cook and stir until flour smells like cooked pie crust, 2 to 3 minutes. Pour in broth and bring to a simmer over high heat. Bring heat back down to medium. Let simmer, uncovered, until gravy reaches your desired thickness, 15 to 20 minutes, scraping down the sides occasionally. Season with salt."", ""Preheat the oven to 450 degrees F (230 degrees C). Lay fries out on a baking sheet."", ""Bake in the preheated oven, turning halfway, until crispy and golden brown, 13 to 18 minutes."", ""Fill a serving platter with fries. Scatter cheese curds on top. Ladle a portion of the beef gravy on top and garnish with chives.""]",www.allrecipes.com/recipe/266892/poutine-gravy/,Gathered,"[""vegetable oil"", ""beef chuck"", ""butter"", ""onions"", ""salt"", ""freshly ground black pepper"", ""cayenne pepper"", ""flour"", ""homemade beef broth"", ""fresh cheese curds"", ""fresh chives""]"
923076,Actifried Poutine,"[""1 3/4 pounds russet potatoes"", ""2 ActiFry spoons vegetable oil, divided"", ""1/2 teaspoon salt, divided"", ""1/2 teaspoon pepper, divided"", ""1/2 ActiFry spoon all-purpose flour"", ""1 1/2 cups beef broth"", ""1 dash Worcestershire sauce"", ""1 cup cubed part-skim mozzarella cheese""]","[""Scrub potatoes and cut into fries of equal size, each about 1/2-inch (1 cm) thick on all sides."", ""Rinse fries thoroughly in water; drain well. Use a clean kitchen towel to thoroughly dry fries."", ""Place fries in the Actifry Pan. Drizzle evenly with half the oil. Cook for 40 minutes, or until the fries are crisp, golden, and cooked through. Season with half of the salt and pepper (adjust to taste)."", ""Meanwhile, heat remaining oil in a small saucepan set over medium heat. Add flour and cook, stirring for 1 minute, or until flour is lightly browned. Whisk in broth and Worcestershire sauce. Bring to a boil. Cook, stirring often, for 5 minutes, or until thickened. Season with remaining salt and pepper (adjust to taste)."", ""Divide fries between 4 serving plates. Top each serving with an equal amount of cheese. Drizzle with hot gravy to melt cheese.""]",www.allrecipes.com/recipe/268467/actifried-poutine/,Gathered,"[""russet potatoes"", ""ActiFry spoons vegetable oil"", ""salt"", ""pepper"", ""ActiFry"", ""beef broth"", ""Worcestershire sauce"", ""mozzarella cheese""]"
923169,Poutine,"[""1 (16 ounce) package frozen French fries"", ""1 (10.25 ounce) can beef gravy"", ""1 (8 ounce) package shredded Cheddar cheese""]","[""Preheat the oven to 400 degrees F (200 degrees C). Place French fries on a baking sheet, and bake for 15 to 20 minutes, or according to package instructions."", ""Heat the gravy in a small saucepan over medium heat. Place the hot fries in a large serving bowl or on a platter. Pour the gravy over the fries. Sprinkle shredded cheese over the top. Serve when cheese has melted.""]",www.allrecipes.com/recipe/76654/poutine/,Gathered,"[""beef gravy"", ""Cheddar cheese""]"
929372,Poutinertots,"[""1 (32 ounce) package frozen bite-size potato nuggets (such as Tater Tots(R))"", ""1 cup cold water"", ""1 (.75 ounce) packet dry brown gravy mix"", ""6 ounces cheese curds""]","[""Preheat oven to 425 degrees F (220 degrees C). Grease a baking sheet and spread potato nuggets onto sheet."", ""Bake in the preheated oven, stirring halfway through cooking, until golden brown and crispy, 25 to 35 minutes."", ""Whisk cold water and gravy mix together in a saucepan; place over medium heat and cook, stirring frequently, until gravy comes to a boil. Reduce heat and simmer for 1 minute. Remove gravy from heat."", ""Place potato nuggets on a serving platter, sprinkle cheese curds over potato nuggets, and pour gravy over the top.""]",www.allrecipes.com/recipe/255746/poutinertots/,Gathered,"[""potato nuggets"", ""cold water"", ""packet"", ""cheese curds""]"
929856,Poutine Style Scalloped Potatoes,"[""8 potatoes, sliced"", ""1 teaspoon salt-free seasoning blend (such as Club House No Salt Added Vegetable Seasoning(R)), or to taste"", ""3 cups shredded mozzarella cheese"", ""3 cups beef gravy""]","[""Preheat oven to 400 degrees F (200 degrees C). Grease a 16x16-inch baking dish."", ""Spread 1/3 of sliced potatoes in the prepared baking dish. Sprinkle potatoes with 1/3 of seasoning mix; top with 1/3 the mozzarella cheese. Continue layering with remaining potatoes, seasoning, and cheese."", ""Pour gravy evenly over potato mixture to cover."", ""Bake in the preheated oven until casserole is bubbly and potatoes are tender, about 45 minutes.""]",www.allrecipes.com/recipe/234114/poutine-style-scalloped-potatoes/,Gathered,"[""potatoes"", ""salt"", ""mozzarella cheese"", ""beef gravy""]"
932358,South Meets North Fajita Poutine,"[""2 pounds beef skirt steak - cut across the grain into 1/4-inch strips and 2-inch pieces"", ""2 1/2 cups Swanson(R) Beef Broth, divided"", ""1 (1.4 ounce) package dry fajita seasoning"", ""3 tablespoons vegetable oil, divided"", ""1 (32 ounce) package frozen French fries"", ""4 tablespoons butter"", ""4 tablespoons all-purpose flour"", ""1 onion, sliced into thin strips"", ""1 green or red bell pepper, cut into thin strips"", ""8 ounces cheese curds"", ""Chopped cilantro (optional)"", ""1 fresh jalapeno pepper, seeded and chopped (optional)""]","[""Place beef pieces in a large resealable bag. Whisk 1/2 cup Swanson(R) Beef Broth, 2 tablespoons vegetable oil and fajita seasoning mix together in small bowl until mix dissolves; pour over beef. Seal bag and refrigerate 8 hours or overnight."", ""Preheat oven to 425 degrees F (220 degrees C)."", ""Arrange French fries in a single layer on a baking sheet; bake in preheated oven until golden brown, about 20 minutes (or according to package directions)."", ""While fries are baking, melt butter in a medium saucepan over medium heat. Whisk in flour and stir until smooth, about 2 minutes. Whisk in remaining 2 cups Swanson(R) Beef Broth and bring to a boil. Reduce heat and simmer until thickened, about 5 minutes, stirring occasionally."", ""Heat 1 tablespoon vegetable oil in a large skillet over medium heat. Add onion and saute 2 minutes or until soft. Add bell pepper and saute an additional 3 minutes."", ""Drain marinade from beef and discard. Add beef to skillet with vegetables. Saute to desired doneness, about 5 minutes."", ""Place fries on a serving platter. Cover fries with beef mixture and cheese curds. Top with gravy and garnish with cilantro and chopped jalapenos.""]",www.allrecipes.com/recipe/245087/south-meets-north-fajita-poutine/,Gathered,"[""beef skirt"", ""Swanson"", ""vegetable oil"", ""butter"", ""all-purpose"", ""onion"", ""green"", ""cheese curds"", ""cilantro"", ""jalapeno pepper""]"
937619,Fenelon Poutine,"[""3 potatoes, cut into fries"", ""1 quart vegetable oil for frying"", ""1/2 cup beef gravy, or as needed"", ""1/2 cup shredded mozzarella cheese, or to taste"", ""2 tablespoons mayonnaise, or to taste"", ""1 tablespoon ketchup, or to taste"", ""1/2 cup shredded lettuce"", ""salt and ground black pepper to taste""]","[""Heat oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C). Fry potatoes in batches in the hot oil until tender and golden brown, about 5 minutes. Remove to drain on a plate lined with paper towels."", ""Heat gravy in a small saucepan over medium heat until heated through, about 5 minutes."", ""Spread a layer of fries into two bowls, sprinkle with cheese and add a small amount of gravy; repeat these layers once. Squirt each serving with 1 tablespoon mayonnaise and 1 1/2 teaspoons ketchup. Sprinkle each bowl with half the lettuce; season with salt and pepper.""]",www.allrecipes.com/recipe/221809/fenelon-poutine/,Gathered,"[""potatoes"", ""vegetable oil"", ""beef gravy"", ""mozzarella cheese"", ""mayonnaise"", ""ketchup"", ""shredded lettuce"", ""salt""]"
